date,volume_real,volume_projection,volume_lower,volume_upper,Forecast Extreme Bad Volume,Forecast Extreme Good Volume
2000-01-01,25046,,,,,
2000-02-01,24974,,,,,
2000-03-01,24598,,,,,
2000-04-01,24213,,,,,
2000-05-01,24047,,,,,
2000-06-01,23514,,,,,
2000-07-01,22912,,,,,
2000-08-01,22435,,,,,
2000-09-01,22444,,,,,
2000-10-01,22435,,,,,
2000-11-01,22405,,,,,
2000-12-01,22358,,,,,
2001-01-01,22523,,,,,
2001-02-01,22430,,,,,
2001-03-01,22154,,,,,
2001-04-01,21603,,,,,
2001-05-01,21127,,,,,
2001-06-01,20557,,,,,
2001-07-01,20245,,,,,
2001-08-01,20137,,,,,
2001-09-01,19873,,,,,
2001-10-01,19882,,,,,
2001-11-01,19776,,,,,
2001-12-01,19795,,,,,
2002-01-01,19870,,,,,
2002-02-01,19682,,,,,
2002-03-01,19112,,,,,
2002-04-01,18539,,,,,
2002-05-01,17915,,,,,
2002-06-01,17533,,,,,
2002-07-01,17343,,,,,
2002-08-01,17209,,,,,
2002-09-01,17093,,,,,
2002-10-01,17032,,,,,
2002-11-01,16850,,,,,
2002-12-01,16718,,,,,
2003-01-01,16854,,,,,
2003-02-01,16978,,,,,
2003-03-01,16826,,,,,
2003-04-01,16287,,,,,
2003-05-01,15893,,,,,
2003-06-01,15733,,,,,
2003-07-01,15598,,,,,
2003-08-01,15741,,,,,
2003-09-01,15618,,,,,
2003-10-01,15517,,,,,
2003-11-01,15337,,,,,
2003-12-01,15300,,,,,
2004-01-01,15434,,,,,
2004-02-01,15404,,,,,
2004-03-01,15255,,,,,
2004-04-01,14866,,,,,
2004-05-01,14324,,,,,
2004-06-01,14042,,,,,
2004-07-01,13924,,,,,
2004-08-01,14018,,,,,
2004-09-01,13937,,,,,
2004-10-01,14094,,,,,
2004-11-01,14367,,,,,
2004-12-01,14355,,,,,
2005-01-01,15119,,,,,
2005-02-01,15739,,,,,
2005-03-01,16220,,,,,
2005-04-01,15869,,,,,
2005-05-01,15593,,,,,
2005-06-01,15441,,,,,
2005-07-01,15288,,,,,
2005-08-01,15351,,,,,
2005-09-01,15219,,,,,
2005-10-01,15078,,,,,
2005-11-01,14896,,,,,
2005-12-01,15131,,,,,
2006-01-01,15335,,,,,
2006-02-01,15520,,,,,
2006-03-01,15337,,,,,
